,variable,type,low,b1,b2,b3,b4,high,a1,a2,a3,a4,sample,ID,generation
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,18
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,18
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,80.01991719924868,103.20834208089708,755.6594919952552,903.3489217631106,<GA.substring object at 0x7f0de2566208>,634,18
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,18
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.13380881489844376,0.18402833232932148,0.6483203603703063,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,18
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,13.188917866950256,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,18
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,18
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,18
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,18
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.6102690215340196,9.556296389614692,12.298525627749406,29.662339986571894,<GA.substring object at 0x7f0dd87674a8>,634,19
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,2.5452796781897407,11.452583552001546,24.112770905842073,32.33227227366224,<GA.substring object at 0x7f0de253e8d0>,634,19
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.29576021377221595,8.425949529437725,39.31908202844354,41.361830060225955,<GA.substring object at 0x7f0de2566be0>,634,19
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,19
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,19
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,80.01991719924868,103.20834208089708,191.63835200224383,903.3489217631106,<GA.substring object at 0x7f0de2566208>,634,19
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,19
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.13380881489844376,0.18276496081273327,0.7638476329740418,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,19
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,13.188917866950256,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,19
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,19
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,19
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,19
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.6102690215340196,9.502193528058191,12.298525627749406,51.68956402726507,<GA.substring object at 0x7f0dd87674a8>,634,20
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,2.5452796781897407,11.452583552001546,24.112770905842073,25.804416112606503,<GA.substring object at 0x7f0de253e8d0>,634,20
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.29576021377221595,8.425949529437725,39.31908202844354,41.361830060225955,<GA.substring object at 0x7f0de2566be0>,634,20
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,20
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,20
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,80.01991719924868,103.20834208089708,191.63835200224383,1485.9195833535377,<GA.substring object at 0x7f0de2566208>,634,20
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,20
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.13380881489844376,0.18276496081273327,0.7638476329740418,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,20
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,13.188917866950256,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,20
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,20
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,20
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,20
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.6102690215340196,32.741087432293185,46.99386536380631,51.68956402726507,<GA.substring object at 0x7f0dd87674a8>,634,21
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,9.953621343529283,16.560296019024012,24.112770905842073,25.804416112606503,<GA.substring object at 0x7f0de253e8d0>,634,21
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,0.29576021377221595,8.425949529437725,18.287254370609375,29.52736701652782,<GA.substring object at 0x7f0de2566be0>,634,21
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,21
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,21
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,80.01991719924868,103.20834208089708,191.63835200224383,1485.9195833535377,<GA.substring object at 0x7f0de2566208>,634,21
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,21
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.13380881489844376,0.18276496081273327,1.168556771226031,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,21
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,13.188917866950256,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,21
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,21
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,21
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,21
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,3.6102690215340196,32.741087432293185,49.63420080484447,52.79256225472117,<GA.substring object at 0x7f0dd87674a8>,634,22
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,6.380292673824457,16.560296019024012,24.112770905842073,24.16365899736921,<GA.substring object at 0x7f0de253e8d0>,634,22
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,5.382568393144025,8.425949529437725,28.818051865179065,29.52736701652782,<GA.substring object at 0x7f0de2566be0>,634,22
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,22
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,22
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,80.01991719924868,103.20834208089708,1281.82217303301,1485.9195833535377,<GA.substring object at 0x7f0de2566208>,634,22
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,22
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.13380881489844376,0.15807217611385588,1.168556771226031,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,22
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,22
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,22
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,22
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,22
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,5.1027111416885145,32.741087432293185,49.63420080484447,52.79256225472117,<GA.substring object at 0x7f0dd87674a8>,634,23
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,6.380292673824457,20.253380858707366,24.112770905842073,24.16365899736921,<GA.substring object at 0x7f0de253e8d0>,634,23
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,5.382568393144025,8.425949529437725,28.818051865179065,29.52736701652782,<GA.substring object at 0x7f0de2566be0>,634,23
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,23
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,23
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,80.01991719924868,103.20834208089708,1281.82217303301,1485.9195833535377,<GA.substring object at 0x7f0de2566208>,634,23
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,23
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.13380881489844376,0.15807217611385588,1.168556771226031,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,23
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,23
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,23
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,23
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,23
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,4.083734431204709,38.53608680891357,43.129346532573535,61.33500457698352,<GA.substring object at 0x7f0dd87674a8>,634,24
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,13.44475722483751,20.253380858707366,21.834301486405455,24.16365899736921,<GA.substring object at 0x7f0de253e8d0>,634,24
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,5.382568393144025,8.425949529437725,28.818051865179065,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,24
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,24
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,24
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,31.335899727666146,103.20834208089708,1281.82217303301,1485.9195833535377,<GA.substring object at 0x7f0de2566208>,634,24
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,24
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.13380881489844376,0.15807217611385588,1.168556771226031,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,24
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,24
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,24
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,24
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,24
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,31.813235138988567,38.53608680891357,43.21008614893147,73.01580142970437,<GA.substring object at 0x7f0dd87674a8>,634,25
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,13.44475722483751,18.074288507276,21.834301486405455,24.16365899736921,<GA.substring object at 0x7f0de253e8d0>,634,25
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,5.382568393144025,8.425949529437725,28.818051865179065,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,25
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,25
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,25
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,56.943798682931764,103.20834208089708,1281.82217303301,1485.9195833535377,<GA.substring object at 0x7f0de2566208>,634,25
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,25
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.13380881489844376,0.15807217611385588,1.168556771226031,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,25
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,25
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,25
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,25
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,25
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,8.26638871411388,41.30331175088747,45.25005141812104,59.76001705460512,<GA.substring object at 0x7f0dd87674a8>,634,26
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,12.568883028980343,18.074288507276,21.834301486405455,24.16365899736921,<GA.substring object at 0x7f0de253e8d0>,634,26
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,5.382568393144025,27.604215995645966,28.818051865179065,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,26
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,26
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,26
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,49.63066880467398,103.20834208089708,1281.82217303301,1485.9195833535377,<GA.substring object at 0x7f0de2566208>,634,26
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,26
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.15807217611385588,1.168556771226031,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,26
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,28.442124948187356,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,26
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,26
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,26
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,26
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,30.210960414078524,41.30331175088747,52.9136179629335,59.76001705460512,<GA.substring object at 0x7f0dd87674a8>,634,27
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,2.3916460837284177,5.366455555329022,6.428122295824739,36.49295960128573,<GA.substring object at 0x7f0de253e8d0>,634,27
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,13.411974440888875,17.306970940236994,28.818051865179065,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,27
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,27
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,27
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,49.63066880467398,103.20834208089708,322.32124143113333,1288.31261415081,<GA.substring object at 0x7f0de2566208>,634,27
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,27
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.15807217611385588,1.183320456925587,1.1902544638115526,<GA.substring object at 0x7f0de25664a8>,634,27
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,26.544646521612886,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,27
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,27
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,27
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,27
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,5.878936571105625,46.76162932738437,61.30800319221207,65.19920173131035,<GA.substring object at 0x7f0dd87674a8>,634,28
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,2.3916460837284177,6.316613108490342,6.428122295824739,36.49295960128573,<GA.substring object at 0x7f0de253e8d0>,634,28
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,13.411974440888875,17.306970940236994,28.818051865179065,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,28
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,28
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,28
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,49.63066880467398,140.63560312242407,224.1987200789224,1288.31261415081,<GA.substring object at 0x7f0de2566208>,634,28
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,28
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.15807217611385588,1.183320456925587,1.4228066376983473,<GA.substring object at 0x7f0de25664a8>,634,28
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,26.544646521612886,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,28
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,28
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,28
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,28
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,31.28407262701775,38.61489210765429,53.096050955663145,87.1963120098278,<GA.substring object at 0x7f0dd87674a8>,634,29
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,2.3916460837284177,10.088560138505446,15.808561704502011,36.49295960128573,<GA.substring object at 0x7f0de253e8d0>,634,29
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,17.238581369308662,17.306970940236994,28.818051865179065,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,29
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,29
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,29
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,49.63066880467398,140.63560312242407,224.1987200789224,1288.31261415081,<GA.substring object at 0x7f0de2566208>,634,29
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,29
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.15807217611385588,1.183320456925587,1.3724791240551448,<GA.substring object at 0x7f0de25664a8>,634,29
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,26.544646521612886,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,29
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,29
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,29
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,29
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.4567734566539,38.61489210765429,41.39551940247237,87.1963120098278,<GA.substring object at 0x7f0dd87674a8>,634,30
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,2.3916460837284177,10.088560138505446,15.808561704502011,28.11640761937942,<GA.substring object at 0x7f0de253e8d0>,634,30
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,17.238581369308662,17.306970940236994,28.818051865179065,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,30
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,30
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,30
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,49.63066880467398,140.63560312242407,224.1987200789224,1288.31261415081,<GA.substring object at 0x7f0de2566208>,634,30
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,30
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.15807217611385588,1.183320456925587,1.3724791240551448,<GA.substring object at 0x7f0de25664a8>,634,30
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,26.544646521612886,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,30
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,30
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,30
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,30
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,19.40286781956763,20.239921848023435,41.34858479599291,77.64365051627207,<GA.substring object at 0x7f0dd87674a8>,634,31
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,2.3916460837284177,10.088560138505446,28.035528856044248,28.11640761937942,<GA.substring object at 0x7f0de253e8d0>,634,31
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,17.238581369308662,17.306970940236994,28.818051865179065,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,31
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,31
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,31
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,49.63066880467398,140.63560312242407,224.1987200789224,1288.31261415081,<GA.substring object at 0x7f0de2566208>,634,31
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,31
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.9273044023436413,1.183320456925587,1.3724791240551448,<GA.substring object at 0x7f0de25664a8>,634,31
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,26.544646521612886,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,31
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,31
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,31
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,31
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,16.813401760020724,18.519255714316976,19.45451263425793,40.25986293507787,<GA.substring object at 0x7f0dd87674a8>,634,32
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,7.180866082587164,10.088560138505446,23.775733272571685,28.767023126693275,<GA.substring object at 0x7f0de253e8d0>,634,32
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,5.677727322332479,17.306970940236994,22.19740268026847,66.17611533732052,<GA.substring object at 0x7f0de2566be0>,634,32
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,32
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,32
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,73.01508752290889,94.78413329337798,224.1987200789224,1288.31261415081,<GA.substring object at 0x7f0de2566208>,634,32
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,32
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.5528539774164316,1.183320456925587,1.190114760728102,<GA.substring object at 0x7f0de25664a8>,634,32
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,26.544646521612886,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,32
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,32
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,32
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,32
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,15.505192516128629,16.536323542519785,22.89283974070921,76.84992601045316,<GA.substring object at 0x7f0dd87674a8>,634,33
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,4.176624199152486,10.088560138505446,23.6524414474397,28.767023126693275,<GA.substring object at 0x7f0de253e8d0>,634,33
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,5.677727322332479,12.533881041572721,22.19740268026847,23.824458152669155,<GA.substring object at 0x7f0de2566be0>,634,33
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,33
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,33
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,73.01508752290889,839.8718188932181,948.0437441360406,1158.2348298944419,<GA.substring object at 0x7f0de2566208>,634,33
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,33
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.5528539774164316,1.183320456925587,1.289896334939381,<GA.substring object at 0x7f0de25664a8>,634,33
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,26.544646521612886,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,33
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,33
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,33
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,33
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,11.884266889281491,16.536323542519785,53.87490371370721,53.936808404494386,<GA.substring object at 0x7f0dd87674a8>,634,34
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,4.176624199152486,10.088560138505446,23.6524414474397,24.878129401347117,<GA.substring object at 0x7f0de253e8d0>,634,34
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,5.677727322332479,12.533881041572721,22.19740268026847,23.824458152669155,<GA.substring object at 0x7f0de2566be0>,634,34
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,634,34
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,634,34
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,73.01508752290889,480.7418320307444,948.0437441360406,1158.2348298944419,<GA.substring object at 0x7f0de2566208>,634,34
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,634,34
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,0.15203388542527263,0.5528539774164316,1.183320456925587,1.4201785246453091,<GA.substring object at 0x7f0de25664a8>,634,34
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,14.968466202415115,21.759501573576067,28.296227909595824,28.628228023443334,<GA.substring object at 0x7f0de25667b8>,634,34
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,634,34
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,,,,,0,634,34
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,634,34
